,Character,Traditional,HSK,FrequencyRank,Pinyin 1,Pinyin 2,Definition,Hanzi,Zein.se definition,Example words,Formatted Words
2057,锡,,,2058,xí, tì,"tin, stannum; bestow, confer",锡," [xī] tin (Sn<BR><BR>rank = 2096
",,
2058,卑,,6.0,2059,bēi,,"humble, low, inferior; despise",卑," [bēi] low, inferior, modest, humble; 卑鄙 bēibǐ base, despicable, vulgar; 卑劣 bēiliè despicabl<BR><BR>rank = 1934
",卑鄙; 卑劣,<span class=examplehanzi>卑</span>鄙; <span class=examplehanzi>卑</span>劣
2059,葬,,6.0,2060,zàng,,"bury, inter",葬," [zàng] (=埋葬 máizàng) bury (the dead); 葬礼 zànglǐ funera<BR><BR>rank = 1965
",埋葬; 葬礼,埋<span class=examplehanzi>葬</span>; <span class=examplehanzi>葬</span>礼
2060,铭,銘   ,6.0,2061,míng,,"inscribe, engrave",铭," [míng] engrave, carve; 铭刻 míngkè inscription, engrave on one's mind <BR><BR>rank = 2382
",铭刻,<span class=examplehanzi>铭</span>刻
2061,滩,灘   ,5.0,2062,tān,,"bank, a sandbar, shoal; rapids",滩," [tān] (=海滩 hǎitān) beach, sand<BR><BR>rank = 2093
",海滩,海<span class=examplehanzi>滩</span>
2062,嫁,,5.0,2063,jià,,"to marry, give a daughter in marriage",嫁," [jià] marry (referring to a woman<BR><BR>rank = 1744
",,
2063,催,,5.0,2064,cuī,,"press, urge",催," [cuī] urge, hurry, haste<BR><BR>rank = 2104
",,
2064,璇,,,2065,xuán,,beautiful jade; star,,,,
2065,翅,,5.0,2066,chì,,wings; fin,,,,
2066,盒,,4.0,2067,hé, ān,small box or case; casket,盒," [hé] (=盒子 hézi) bo<BR><BR>rank = 1843
",盒子,<span class=examplehanzi>盒</span>子
2067,蛮,蠻   ,6.0,2068,mán,,"barbarians; barbarous, savage",蛮," [mán] quite, very, fierce, (=野蛮 yěmán) barbaric; 蛮横 mánhèng unreasonabl<BR><BR>rank = 2151
",野蛮; 蛮横,野<span class=examplehanzi>蛮</span>; <span class=examplehanzi>蛮</span>横
2068,矣,,,2069,yǐ, xián,particle of completed action,矣," [yǐ] &LT;grammatical particle similar to '了'&GT<BR><BR>rank = 2455
",了,了
2069,潘,,,2070,pān," pán, fān, pàn,bō",surname; water in which rice has been rinsed; a river that flows into the Han,潘," [Pān] &LT;family name&GT<BR><BR>rank = 2386
",,
2070,歧,,6.0,2071,qí,,fork of road; branching off,歧," [qí] (of roads=) fork, branch, divergent; 歧视 qíshì discriminat<BR><BR>rank = 2240
",歧视,<span class=examplehanzi>歧</span>视
2071,赐,,,2072,sì, cì,"give, bestow favors; appoint",赐," [cì] give, grant, gift (from superior to inferior<BR><BR>rank = 2072
",,
2072,鲍,,,2073,bào,,abalone; dried fish; surname,鲍," [bào] &LT;family name&GT;, (=鲍鱼 bàoyú) abalon<BR><BR>rank = 2213
",鲍鱼,<span class=examplehanzi>鲍</span>鱼
2073,锅,鍋   ,5.0,2074,guō,,"cooking-pot, saucepan",锅," [guō] pot, wok, frying pan; 锅贴 guōtiē pot sticke<BR><BR>rank = 1676
",锅贴,<span class=examplehanzi>锅</span>贴
2074,廊,,6.0,2075,láng,,"corridor, porch, veranda",廊," [láng] hal<BR><BR>rank = 2226
",,
2075,拆,,5.0,2076,chāi," cā, chè","to break up, split apart, rip open; to destroy",拆," [chāi] take apart, dismantle<BR>[cā] 〈collquial〉 excret<BR><BR>rank = 1820
",,
2076,灌,,6.0,2077,guàn, huàn,"pour; water; irrigate, flood",灌," [guàn] pour; 灌溉 guàngài irrigate; 灌木 guànmù bus<BR><BR>rank = 2251
",灌溉; 灌木,<span class=examplehanzi>灌</span>溉; <span class=examplehanzi>灌</span>木
2077,勉,,6.0,2078,miǎn,,"endeavor, make effort; urge",勉," [miǎn] make an effort; 勉强 miǎnqiǎng force; with difficult<BR><BR>rank = 2164
",勉强,<span class=examplehanzi>勉</span>强
2078,盲,,6.0,2079,máng, wàng,"blind; unperceptive, shortsighted",盲," [máng] (=盲目 mángmù) blind, unable to distinguish; 盲动 mángdòng act blindl<BR><BR>rank = 2051
",盲目; 盲动,<span class=examplehanzi>盲</span>目; <span class=examplehanzi>盲</span>动
2079,宰,,6.0,2080,zǎi,,to slaughter; to rule,宰," [zǎi] slaughter, butcher, govern; 宰割 zǎigē invade and oppres<BR><BR>rank = 2260
",宰割,<span class=examplehanzi>宰</span>割
2080,佐,,,2081,zuǒ,,"assist, aid, second; subordinate",佐," [zuǒ] assis<BR><BR>rank = 2463
",,
2081,啥,,6.0,2082,shà,,what?,啥," [shá] (=啥子 sházi) what? (= 什么 shénme<BR><BR>rank = 2222
",啥子什么,<span class=examplehanzi>啥</span>子什么
2082,胀,脹   ,6.0,2083,zhàng,,"swell, inflate, expand",胀," [zhàng] (=膨胀 péngzhàng) swell, expan<BR><BR>rank = 2275
",膨胀,膨<span class=examplehanzi>胀</span>
