,Character,Traditional,HSK,FrequencyRank,Pinyin 1,Pinyin 2,Definition,Hanzi,Zein.se definition,Example words,Formatted Words
81,好,,1.0,82,hǎo, hào,"good, excellent, fine; well",好," [hǎo] good, good to..., easy to...; 你好! Nǐhǎo! Hello!<BR>[hào] to like<BR>[hāo] 好好儿 hǎohāor in perfectly good conditio<BR><BR>rank = 58
","你好, 好好儿","你<span class=examplehanzi>好</span>, <span class=examplehanzi>好</span><span class=examplehanzi>好</span>儿"
82,小,,1.0,83,xiǎo,,"small, tiny, insignificant",小," [xiǎo] small; 大小 dàxiǎo siz<BR><BR>rank = 51
",大小,大<span class=examplehanzi>小</span>
83,部,,4.0,84,bù, pǒu,"part, division, section",部," [bù] (=部分 bùfen) part, section, unit, &LT;classifier for film, large books, machines, etc.&GT;, (=部队 bùduì) troops, army; 西部 xībù western part; 全部 quánbù entir<BR><BR>rank = 137
","部分, 部队; 西部; 全部","<span class=examplehanzi>部</span>分, <span class=examplehanzi>部</span>队; 西<span class=examplehanzi>部</span>; 全<span class=examplehanzi>部</span>"
84,其,,3.0,85,qí, jī,"his, her, its, their; that",其," [qí] its, that, such, they, them; 其他 qítā other; 尤其 yóuqí especially<BR>[jī] anniversar<BR><BR>rank = 126
",其他; 尤其,<span class=examplehanzi>其</span>他; 尤<span class=examplehanzi>其</span>
85,些,,1.0,86,xiē," suò, sā","little, few; rather, somewhat",些," [xiē] some, &LT;classifier for plural or indefinite/small amount&GT;; 一些 yìxiē a number of, some; 这些人 zhèxiē rén these peopl<BR><BR>rank = 110
",一些; 这些人,一<span class=examplehanzi>些</span>; 这<span class=examplehanzi>些</span>人
86,主,,3.0,87,zhǔ,,"master, chief owner; host; lord",主," [zhǔ] lord, master, host, god, (=主要 zhǔyào) main, primary; 主义 zhǔyì doctrine, ~ism; 主页 zhùyè homepage<BR>{Compare with 王 wáng king<BR><BR>rank = 80
",主要; 主义; 主页,<span class=examplehanzi>主</span>要; <span class=examplehanzi>主</span>义; <span class=examplehanzi>主</span>页
87,样,樣   ,1.0,88,yáng," yàng, xiàng","shape, form, pattern, style",样," [yàng] appearance, shape, form, manner; 这样 zhèyàng like this; 怎么样 zěnmeyàng how? in what way<BR><BR>rank = 103
",这样; 怎么样,这<span class=examplehanzi>样</span>; 怎么<span class=examplehanzi>样</span>
88,理,,3.0,89,lǐ,,"reason, logic; manage",理," [lǐ] principle; 理论 lǐlùn theory; 管理 guǎnlǐ manage; 心理 xīnlǐ psychology, mentalit<BR><BR>rank = 121
",理论; 管理; 心理,<span class=examplehanzi>理</span>论; 管<span class=examplehanzi>理</span>; 心<span class=examplehanzi>理</span>
89,心,,3.0,90,xīn,,"heart; mind, intelligence; soul",心," [xīn] heart; 小心 xiǎoxīn be careful; 心理 xīnlǐ psychology, mentality; 中心 zhōngxīn cente<BR><BR>rank = 53
",小心; 心理; 中心,小<span class=examplehanzi>心</span>; <span class=examplehanzi>心</span>理; 中<span class=examplehanzi>心</span>
90,她,,1.0,91,tā,,"she, her",她," [tā] she, he<BR><BR>rank = 48
",,
91,本,,1.0,92,běn,,"root, origin, source; basis",本," [běn] basis, origin, edition, &LT;classifier for books, periodicals, files, etc.&GT;; 本人 běnrén I, me, myself; 日本 Rìběn Japan<BR>{Compare with 木 mù tree<BR><BR>rank = 87
",本人; 日本,<span class=examplehanzi>本</span>人; 日<span class=examplehanzi>本</span>
92,前,,1.0,93,qián,,"in front, forward; preceding",前," [qián] in front, previous, ago, former, first; 前天 the day before yesterda<BR><BR>rank = 85
",前天,<span class=examplehanzi>前</span>天
93,开,開   ,1.0,94,kāi,,"open; initiate, begin, start",开," [kāi] open; 开始 kāishǐ begin 打开 dǎkāi open, unfold<BR>[kai] (when used as a verb complement)<BR>{Compare with 并 bìng combine<BR><BR>rank = 76
",开始打开,<span class=examplehanzi>开</span>始打<span class=examplehanzi>开</span>
94,但,,2.0,95,dàn,,"only; but, however, yet, still",但," [dàn] (=但是 dànshì) but, still, nevertheless, however, ye<BR><BR>rank = 108
",但是,<span class=examplehanzi>但</span>是
95,因,,2.0,96,yīn,,"cause, reason; by; because (of)",因," [yīn] cause, (=因为 yīnwèi) because, (=原因 yuányīn) reaso<BR><BR>rank = 157
",因为原因,<span class=examplehanzi>因</span>为原<span class=examplehanzi>因</span>
96,只,只 隻  ,3.0,97,zhǐ, zhī,"only, just, simply",只," [zhǐ] only, just, merely, &LT;classifier implying 'one of a pair', animals, vessels, utensils, etc.&GT;; 一只猫 yì zhǐ māo a cat<BR>[zhī] (F�b) single, one, only<BR>{Compare with 兄 xiōng brother<BR><BR>rank = 69
",一只猫,一<span class=examplehanzi>只</span>猫
97,从,從   ,2.0,98,cóng," zòng, zōng,cōng","from, by, since, whence, through",从," [cóng] from, through, join, follower, secondary<BR>[cōng] 黑从从 hēicōngcōng murk<BR><BR>rank = 97
",黑从从,黑<span class=examplehanzi>从</span><span class=examplehanzi>从</span>
98,想,,1.0,99,xiǎng,,"think, speculate, plan, consider",想," [xiǎng] think, feel, consider, want, remembe<BR><BR>rank = 72
",,
99,实,實   ,3.0,100,shí,,"real, true; honest, sincere",实," [shí] solid, true, real; 事实 shìshí fact; 实际上 shíjìshang actually; 实在 shízài reall<BR><BR>rank = 118
",事实; 实际上; 实在,事<span class=examplehanzi>实</span>; <span class=examplehanzi>实</span>际上; <span class=examplehanzi>实</span>在
100,日,,1.0,101,rì, mì,sun; day; daytime,日," [rì] sun, (=日子 rìzi) day; 日记 rìjì diary; 日光 rìguāng sunlight<BR>{Compare with 曰 yuē say, 目 mù eye and 甘 gān sweet<BR><BR>rank = 62
",日子; 日记; 日光,<span class=examplehanzi>日</span>子; <span class=examplehanzi>日</span>记; <span class=examplehanzi>日</span>光
101,军,軍   ,5.0,102,jūn,,"army, military; soldiers, troops",军," [jūn] army, military, troop<BR><BR>rank = 191
",,
102,者,,3.0,103,zhě, zhū,that which; he who; those who,者," [zhě] one who...; 作者 zuòzhě author; 和平主义者 hépíngzhǔyìzhě pacifis<BR><BR>rank = 134
",作者; 和平主义者,作<span class=examplehanzi>者</span>; 和平主义<span class=examplehanzi>者</span>
103,意,,2.0,104,yì,,"thought, idea, opinion; think",意," [yì] (=意思 yìsi, =意义 yìyì) meaning, idea, (=愿意 yuànyi) wish, desire; 意图 yìtú intention; 意见 yìjian opinion; 意大利 Yìdàlì Ital<BR><BR>rank = 113
",意思意义愿意; 意图; 意见; 意大利,<span class=examplehanzi>意</span>思<span class=examplehanzi>意</span>义愿<span class=examplehanzi>意</span>; <span class=examplehanzi>意</span>图; <span class=examplehanzi>意</span>见; <span class=examplehanzi>意</span>大利
104,无,無   ,4.0,105,wú, mó,"negative, no, not; KangXi radical 71",无," [wú] without, nothingness, have not<BR>[mó] 南无 nánmó &LT;Sanskrit&GT; to give oneself totally to<BR>{Compare with 天 tiān heaven<BR><BR>rank = 75
",南无,南<span class=examplehanzi>无</span>
105,力,,3.0,106,lì,,"power, capability, influence",力," [lì] (=活力 nénglì) energy, vitality, &LT;family name&GT;, (=力量 lìliang) strength, forc<BR><BR>rank = 143
","活力, 力量","活<span class=examplehanzi>力</span>, <span class=examplehanzi>力</span>量"
106,它,牠   ,2.0,107,tā, tuō,it; other,它," [tā] it, it<BR><BR>rank = 280
",,
107,与,與   ,4.0,108,yǔ," yù, yú","and; with; to; for; give, grant",与," [yǔ] give, offer, help, support, and<BR>[yù] 参与 cānyù participate in<BR>[yú] 欤 &LT;interrogative/esclamative particle&GT;<BR>{Compare with 写 xiě write<BR><BR>rank = 111
",参与; 欤,参<span class=examplehanzi>与</span>; 欤
108,长,長   ,2.0,109,cháng," zhǎng, zhàng",long; length; excel in; leader,长," [cháng] long, lasting, length<BR>[zhǎng] grow up, chief, head, older, elde<BR><BR>rank = 100
",,
109,把,,3.0,110,bǎ, bà,"hold, take; guard; regard as",把," [bǎ] grasp, hold, handle, &LT;classifier for things with handles, handfuls, chairs, etc.&GT;<BR>[bà] 把子 bàzi, 把儿 bàr handl<BR><BR>rank = 115
",把子把儿,<span class=examplehanzi>把</span>子<span class=examplehanzi>把</span>儿
110,机,機   ,1.0,111,jī,,desk; machine; moment,机," [jī] (=机器 jīqi) machine; 收音机 shōuyīnjī radio; 飞机 fēijī aircraf<BR><BR>rank = 144
",机器; 收音机; 飞机,<span class=examplehanzi>机</span>器; 收音<span class=examplehanzi>机</span>; 飞<span class=examplehanzi>机</span>
111,十,,1.0,112,shí,,"ten, tenth; complete; perfect",十," [shí] ten; 十三 shísān thirteen; 五十 wǔshí fifty; 十月 shíyuè Octobe<BR><BR>rank = 78
",十三; 五十; 十月,<span class=examplehanzi>十</span>三; 五<span class=examplehanzi>十</span>; <span class=examplehanzi>十</span>月
112,民,,4.0,113,mín,,"people, subjects, citizens",民," [mín] (=人民 rénmín) people, &LT;family name&GT;; 民主 mǐnzhǔ democrac<BR><BR>rank = 102
","人民, 民主","人<span class=examplehanzi>民</span>, <span class=examplehanzi>民</span>主"
113,第,,2.0,114,dì,,"sequence, number; grade, degree",第," [dì] indicating ordinal number, ~th; 第三世界 dì-sān shìjiè 3rd World; 第一次 dì-yī cì 1st tim<BR><BR>rank = 163
",第三世界; 第一次,<span class=examplehanzi>第</span>三世界; <span class=examplehanzi>第</span>一次
114,公,,2.0,115,gōng,,"fair, equitable; public; duke",公," [gōng] public, official; 公里 gōnglǐ kilometer; 办公室 bàngōngshì office; 公司 gōngsī company; 公共 gōnggòng public, communal, common; 公共汽车 gōnggòngqìchē (public) bus; 李公 Lǐgōng (honorable and old) Mr L<BR><BR>rank = 92
",公里; 办公室; 公司; 公共; 公共汽车; 李公,<span class=examplehanzi>公</span>里; 办<span class=examplehanzi>公</span>室; <span class=examplehanzi>公</span>司; <span class=examplehanzi>公</span>共; <span class=examplehanzi>公</span>共汽车; 李<span class=examplehanzi>公</span>
115,此,,4.0,116,cǐ,,"this, these; in this case, then",此," [cǐ] this; 如此 rúcǐ (=这样 zhèyàng) like this; 此地 cǐdì (=这里 zhèlǐ) here, at this plac<BR><BR>rank = 117
",如此这样; 此地这里,如<span class=examplehanzi>此</span>这样; <span class=examplehanzi>此</span>地这里
116,已,,2.0,117,yǐ,,already; finished; stop,已," [yǐ] stop, cease, end, (=已经 yǐjīng) already<BR>{Compare with 己 jǐ self, which is 'open' on the left side<BR><BR>rank = 95
",已经,<span class=examplehanzi>已</span>经
117,工,,1.0,118,gōng,,"labor, work; worker, laborer",工," [gōng] (=工作 gōngzuò) work, job; 工人 gōngrén worke<BR><BR>rank = 130
",工作; 工人,<span class=examplehanzi>工</span>作; <span class=examplehanzi>工</span>人
118,使,,3.0,119,shǐ, shì,"cause, send on a mission, order; envoy, messenger, ambassador",使," [shǐ] make, cause to (do), send (as envoy), (=使用 shǐyòng) use, apply<BR>{Compare with 吏 lì and 便 biàn official<BR><BR>rank = 171
",使用,<span class=examplehanzi>使</span>用
119,情,,2.0,120,qíng,,"feeling, sentiment, emotion",情," [qíng] sensibility, (=感情 gǎnqíng) feeling, emotion; 爱情 àiqíng lov<BR><BR>rank = 136
",感情; 爱情,感<span class=examplehanzi>情</span>; 爱<span class=examplehanzi>情</span>
120,明,,1.0,121,míng,,"bright, light, brilliant; clear",明," [míng] bright, clear, distinct, next (day or year), &LT;family name&GT;; 明白 míngbai clear, understand; 明天 míngtiān tomorro<BR><BR>rank = 125
",明白; 明天,<span class=examplehanzi>明</span>白; <span class=examplehanzi>明</span>天
121,性,,4.0,122,xìng,,"nature, character, sex",性," [xìng] sex, gender, nature, disposission, ~ness; 可能性 kěnéngxìng possibilit<BR><BR>rank = 215
",可能性,可能<span class=examplehanzi>性</span>
122,知,,2.0,123,zhī, zhì,"know, perceive, comprehend",知," [zhī] realize, sense, inform, tell, (=知道 zhīdao) know; 知识 zhīshi knowledge<BR>[zhì] (=智 zhì) wit, (=智慧 zhìhuì) wisdom, (=智力 zhìlì) intellec<BR><BR>rank = 101
",知道; 知识; 智智慧智力,<span class=examplehanzi>知</span>道; <span class=examplehanzi>知</span>识; 智智慧智力
123,全,,4.0,124,quán,,"maintain, keep whole or intact",全," [quán] whole, entire, total, complete, &LT;family name&GT;; 完全 wánquán completely; 安全 ānquán safet<BR><BR>rank = 129
",完全; 安全,完<span class=examplehanzi>全</span>; 安<span class=examplehanzi>全</span>
124,三,,1.0,125,sān, sàn,three,三," [sān] three; 第三世界 dì-sān shìjiè 3rd World; 三月 sānyuè Marc<BR><BR>rank = 94
",第三世界; 三月,第<span class=examplehanzi>三</span>世界; <span class=examplehanzi>三</span>月
125,又,,3.0,126,yòu,,"and, also, again, in addition",又," [yòu] again, both... and..<BR><BR>rank = 83
",,
126,关,關   ,1.0,127,guān, wān,frontier pass; close; relation,关," [guān] shut, close, turn off, close down, concern, key part; 关系 guānxi connection; 关于 guānyú concernin<BR><BR>rank = 183
",关系; 关于,<span class=examplehanzi>关</span>系; <span class=examplehanzi>关</span>于
127,点,點   ,1.0,128,diǎn,,"dot, speck, spot; point, degree",点," [diǎn] a drop (of liquid), dot, decimal point, a little, a bit, appoint time, select, choose, order food/drink, &LT;classifier for small amounts&GT;, (=点火 diǎnhuǒ) light a fire; 一点儿 yìdiǎnr a little; 点头 diǎntóu nod one's hea<BR><BR>rank = 123
",点火; 一点儿; 点头,<span class=examplehanzi>点</span>火; 一<span class=examplehanzi>点</span>儿; <span class=examplehanzi>点</span>头
128,正,,2.0,129,zhèng, zhēng,"right, proper, correct",正," [zhèng] right, straight, upright, correct<BR>[zhēng] 正月 zhēngyuè, 新正 xīnzhēng the 1st month of lunar yea<BR><BR>rank = 138
",正月新正,<span class=examplehanzi>正</span>月新<span class=examplehanzi>正</span>
129,业,業   ,3.0,130,yè,,"profession, business; GB radical 111",业," [yè] line of business, trade, occupation, profession, course of study, engage in, &LT;family name&GT;; 商业 shāngyè commerce; 工业 gōngyè industry; 作业 zuòyè homewor<BR><BR>rank = 149
",商业; 工业; 作业,商<span class=examplehanzi>业</span>; 工<span class=examplehanzi>业</span>; 作<span class=examplehanzi>业</span>
130,外,,2.0,131,wài,,"out, outside, external; foreign",外," [wài] outside, outer, other, foreign, beyond, relative on ones mother's/sisters/wife's side; 外孙 wàisūn daugthers son; 外国人 wàiguórén foreigner; 意外 yìwài unexpected<BR>{Compare with 处 chù place<BR><BR>rank = 107
",外孙; 外国人; 意外,<span class=examplehanzi>外</span>孙; <span class=examplehanzi>外</span>国人; 意<span class=examplehanzi>外</span>
131,将,將   ,4.0,132,jiāng," jiàng, qiāng","will, going to, future; general",将," [jiāng] shall; 将来 jiānglái future<BR>[jiàng] general, a piece in Chinese chess 麻将 májiàng mahjong<BR><BR>rank = 106
",将来; 麻将,<span class=examplehanzi>将</span>来; 麻<span class=examplehanzi>将</span>
132,两,両 兩  ,2.0,133,liǎng, liàng,"two, both, pair, couple; ounce",两," [liǎng] two (before classifier), 50 gram<BR><BR>rank = 99
",,
133,高,,1.0,134,gāo, gào,"high, tall; lofty, elevated",高," [gāo] high, tall, loud, &LT;polite&GT; your, &LT;family name&GT;; 提高 tígāo improve; 高兴 gāoxìng happy; 高见 gāojiàn &LT;polite&GT; your opinion/ide<BR><BR>rank = 112
",提高; 高兴; 高见,提<span class=examplehanzi>高</span>; <span class=examplehanzi>高</span>兴; <span class=examplehanzi>高</span>见
134,间,間   ,2.0,135,jiān, jiàn,"midpoint, space; place, locality",间," [jiān] room, between, locality, within given time or space, &LT;classifier for rooms&GT;<BR>[jiàn] gap, interval<BR>[gān] 半间不界 bàn'gānbùgà neither this nor that, inexplicit, equivocal, mediocr<BR><BR>rank = 151
",半间不界,半<span class=examplehanzi>间</span>不界
135,由,,4.0,136,yóu, yāo,"cause, reason; from",由," [yóu] from, let, (=由于 yóuyú) due to, (=理由 lǐyóu) cause, reason; 自由 zìyóu freedom<BR>{Compare with 甲 jiǎ helmet and 申 shēn explain<BR><BR>rank = 188
",由于理由; 自由,<span class=examplehanzi>由</span>于理<span class=examplehanzi>由</span>; 自<span class=examplehanzi>由</span>
136,问,問   ,2.0,137,wèn,,"ask about, inquire after",问," [wèn] ask, examine; 问题 wèntí question, problem; 访问 fǎngwèn visi<BR><BR>rank = 142
",问题; 访问,<span class=examplehanzi>问</span>题; 访<span class=examplehanzi>问</span>
137,很,,1.0,138,hěn,,"very, quite, much",很," [hěn] very, quite; 很好 hěnhǎo very good; 很不错! hěn búcuò! not bad at all<BR><BR>rank = 148
",很好; 很不错,<span class=examplehanzi>很</span>好; <span class=examplehanzi>很</span>不错
